date,France,Italy,US,Vietnam
12/6/20,2292838,1728878,14878205,1366
12/7/20,2296249,1742557,15073665,1367
12/8/20,2309760,1757394,15300719,1377
12/9/20,2324300,1770149,15516726,1381
12/10/20,2337594,1787147,15753667,1385
12/11/20,2350923,1805873,15992572,1391
12/12/20,2364740,1825775,16217106,1395
12/13/20,2376228,1843712,16408703,1397
12/14/20,2379291,1855737,16618535,1402
12/15/20,2390419,1870576,16844852,1405
12/16/20,2407983,1888144,17079657,1405
12/17/20,2426063,1906377,17319905,1407
12/18/20,2441737,1921778,17567850,1410
12/19/20,2458839,1938083,17773701,1411
12/20/20,2471458,1953185,17960896,1413
12/21/20,2477255,1964054,18157757,1414
12/22/20,2488889,1977370,18363689,1420
12/23/20,2503693,1991278,18585127,1421
12/24/20,2525234,2009317,18798075,1432
12/25/20,2545358,2028354,18925250,1439
12/26/20,2548388,2038759,19142690,1440
12/27/20,2556621,2047696,19278649,1441
12/28/20,2559575,2056277,19451952,1451
12/29/20,2570767,2067487,19657922,1454
12/30/20,2597124,2083689,19876219,1456
12/31/20,2616902,2107166,20191306,1465
1/1/21,2636045,2129376,20370208,1474
1/2/21,2639404,2141201,20642491,1482
1/3/21,2651893,2155446,20845889,1494
1/4/21,2655915,2166244,21031395,1497
1/5/21,2676195,2181619,21264258,1504
1/6/21,2701215,2201945,21524022,1505
1/7/21,2722728,2220361,21810263,1509
1/8/21,2742349,2237890,22114329,1512
1/9/21,2762120,2257866,22379069,1513
1/10/21,2777921,2276491,22589913,1514
1/11/21,2781503,2289021,22793873,1515
1/12/21,2800770,2303263,23015684,1520
1/13/21,2824473,2319036,23245017,1521
1/14/21,2845701,2336279,23480592,1531
1/15/21,2866413,2352423,23725590,1536
1/16/21,2887532,2368733,23943274,1537
1/17/21,2903975,2381277,24119831,1537
1/18/21,2907711,2390102,24260661,1539
1/19/21,2931050,2400598,24417564,1540
1/20/21,2957547,2414166,24604951,1544
1/21/21,2979915,2428221,24797504,1546
1/22/21,3002910,2441854,24989279,1548
1/23/21,3026320,2455185,25167456,1548
1/24/21,3044358,2466813,25307600,1548
1/25/21,3048598,2475372,25437201,1549
1/26/21,3070458,2485956,25588211,1551
1/27/21,3097374,2501147,25743667,1553
1/28/21,3120634,2515507,25910431,1651
1/29/21,3143417,2529070,26074173,1657
1/30/21,3167274,2541783,26225114,1767
1/31/21,3186354,2553032,26337973,1817
2/1/21,3190701,2560957,26463286,1850
2/2/21,3213360,2570608,26580317,1882
2/3/21,3239256,2583790,26704689,1948
2/4/21,3238798,2597446,26829720,1957
2/5/21,3284085,2611659,26960831,1976
2/6/21,3303273,2625098,27077692,1985
2/7/21,3322988,2636738,27167121,2001
2/8/21,3327305,2644707,27249921,2050
2/9/21,3345558,2655319,27345302,2064
2/10/21,3370645,2668266,27440584,2091
2/11/21,3390952,2683403,27547356,2140
2/12/21,3410996,2697296,27647938,2142
2/13/21,3431805,2710819,27738697,2195
2/14/21,3447518,2721879,27807005,2228
2/15/21,3451894,2729223,27862455,2269
2/16/21,3471268,2739591,27921677,2311
2/17/21,3495775,2751657,27990522,2329
2/18/21,3517177,2765412,28063102,2347
2/19/21,3541282,2780882,28138260,2362
2/20/21,3562707,2795796,28212043,2368
2/21/21,3584326,2809246,28267308,2383
2/22/21,3588972,2818863,28322791,2392
2/23/21,3608271,2832162,28396650,2403
2/24/21,3639501,2848564,28471675,2412
2/25/21,3664050,2868435,28548954,2421
2/26/21,3689034,2888923,28624374,2426
2/27/21,3712474,2907825,28695664,2432
2/28/21,3732426,2925265,28747428,2448
3/1/21,3736390,2938371,28797867,2448
3/2/21,3759247,2955434,28856284,2475
3/3/21,3785326,2976274,28923336,2482
3/4/21,3810605,2999119,28992280,2488
3/5/21,3833572,3023129,29060160,2494
3/6/21,3856182,3046762,29121191,2501
3/7/21,3878007,3067486,29162801,2512
3/8/21,3883334,3081368,29206893,2524
3/9/21,3906363,3101093,29262396,2526
3/10/21,3935990,3123368,29320168,2529
3/11/21,3963156,3149017,29381960,2533
3/12/21,3988194,3175807,29444564,2550
3/13/21,4017844,3201838,29501384,2553
3/14/21,4043769,3223142,29540659,2554
3/15/21,4050010,3238394,29591694,2557
3/16/21,4080012,3258770,29645761,2560
3/17/21,4117650,3281810,29705036,2567
3/18/21,4152604,3306711,29767426,2570
3/19/21,4187630,3332418,29829058,2571
3/20/21,4222935,3356331,29887925,2572
3/21/21,4252919,3376376,29923303,2572
3/22/21,4268711,3400877,29970727,2575
3/23/21,4283389,3419616,30023585,2575
3/24/21,4347614,3440862,30111342,2576
3/25/21,4393255,3464543,30178970,2579
3/26/21,4434884,3488619,30255341,2586
3/27/21,4477503,3512453,30319396,2586
3/28/21,4513685,3532057,30365716,2591
3/29/21,4522779,3544957,30431588,2594
3/30/21,4553481,3561012,30493278,2594
3/31/21,4611392,3584899,30562810,2603
4/1/21,4661841,3607083,30639667,2617
4/2/21,4708648,3629000,30713692,2620
4/3/21,4707488,3650247,30778572,2626
4/4/21,4788117,3668264,30816494,2631
4/5/21,4799078,3678944,30883581,2637
4/6/21,4807123,3686707,30946407,2648
4/7/21,4807123,3700393,31022183,2659
4/8/21,4903965,3717602,31102249,2668
4/9/21,4903965,3736526,31187002,2683
4/10/21,4903965,3754077,31257537,2692
4/11/21,5021865,3769814,31304993,2693
4/12/21,5030401,3779594,31367176,2705
4/13/21,5068534,3793033,31448017,2714
4/14/21,5111882,3809193,31523621,2733
4/15/21,5149776,3826156,31597603,2758
4/16/21,5186109,3842079,31681076,2772
4/17/21,5221888,3857443,31736564,2781
4/18/21,5249622,3870131,31780394,2785
4/19/21,5256318,3878994,31838941,2791
4/20/21,5300321,3891063,31901381,2800
4/21/21,5334144,3904899,31965728,2812
4/22/21,5367544,3920945,32032446,2824
4/23/21,5399600,3935703,32095341,2830
4/24/21,5432085,3949517,32150313,2833
4/25/21,5456417,3962674,32185082,2843
4/26/21,5460793,3971114,32227369,2852
4/27/21,5490025,3981512,32279651,2857
4/28/21,5521227,3994894,32334837,2865
4/29/21,5547670,4009208,32393662,2910
4/30/21,5571804,4022653,32451765,2928
5/1/21,5597295,4035617,32500541,2942
5/2/21,5605532,4044762,32531097,2962
5/3/21,5609292,4050708,32575719,2985
5/4/21,5633509,4059821,32618614,2995
5/5/21,5658254,4070400,32664657,3030
5/6/21,5679730,4082198,32710836,3090
5/7/21,5698706,4092747,32759251,3137
5/8/21,5718165,4102921,32794906,3245
5/9/21,5727293,4111210,32817776,3412
5/10/21,5730585,4116287,32850152,3489
5/11/21,5750098,4123230,32885630,3571
5/12/21,5770128,4131078,32921781,3658
5/13/21,5789589,4139160,32960517,3740
5/14/21,5796058,4146722,33002734,3816
5/15/21,5811711,4153374,33033492,4112
5/16/21,5825659,4159122,33051184,4212
5/17/21,5829009,4162576,33076425,4359
5/18/21,5845010,4167025,33105341,4512
5/19/21,5863138,4172525,33134946,4720
5/20/21,5514022,4178261,33165163,4809
5/21/21,5526555,4183476,33193988,4941
5/22/21,5538938,4188190,33215201,5119
5/23/21,5547914,4192183,33228985,5275
5/24/21,5550143,4194672,33250857,5404
5/25/21,5552977,4197892,33275448,5931
5/26/21,5564217,4201827,33300044,6086
5/27/21,5578150,4205970,33326886,6356
5/28/21,5588981,4209707,33349128,6396
5/29/21,5600353,4213055,33362439,6908
5/30/21,5608347,4216003,33369793,7107
5/31/21,5609558,4217821,33376068,7432
6/1/21,5619133,4220304,33396921,7625
6/2/21,5619133,4223200,33413635,7870
6/3/21,5634526,4225163,33432030,8063
6/4/21,5641296,4227719,33449895,8364
6/5/21,5647950,4230153,33465499,8580
6/6/21,5652705,4232428,33471515,8791
6/7/21,5653678,4233698,33485585,9027
6/8/21,5659478,4235592,33498624,9222
6/9/21,5663717,4237790,33517189,9635
6/10/21,5667993,4239868,33531970,9835
6/11/21,5671864,4241760,33557121,10048
6/12/21,5675604,4243482,33566281,10337
6/13/21,5678209,4244872,33571551,10630
6/14/21,5678893,4245779,33583337,10881
6/15/21,5681846,4247032,33594066,11304
6/16/21,5683536,4248432,33605973,11794
6/17/21,5685387,4249755,33617736,12150
6/18/21,5688557,4250902,33638918,12508
6/19/21,5691181,4252095,33647970,12978
6/20/21,5692996,4252976,33652891,13258
6/21/21,5692968,4253460,33663445,13530
6/22/21,5694975,4254294,33674240,13782
6/23/21,5696069,4255434,33686905,13989
6/24/21,5698076,4255700,33701380,14323
6/25/21,5699818,4256451,33725982,14537
6/26/21,5701946,4257289,33735352,15325
6/27/21,5703524,4258069,33739974,15740
6/28/21,5703780,4258456,33753596,16136
6/29/21,5705863,4259133,33761071,16507
6/30/21,5707142,4259909,33776423,17052
7/1/21,5709806,4260788,33791543,17727
7/2/21,5712276,4261582,33821299,18121
7/3/21,5715282,4262511,33826713,19310
7/4/21,5717831,4263317,33830998,20261
7/5/21,5718270,4263797,33839900,21312
7/6/21,5720593,4264704,33862181,22341
7/7/21,5724395,4265714,33882358,23385
7/8/21,5728837,4267105,33903221,24810
7/9/21,5733214,4268491,33950815,26608
7/10/21,5737910,4269885,33960934,28470
7/11/21,5742166,4271276,33972681,30478
7/12/21,5742783,4272163,34002105,32665
7/13/21,5749593,4273693,34028635,35409
7/14/21,5749593,4275846,34059760,38239
7/15/21,5760374,4278319,34091722,42288
7/16/21,5771282,4281214,34169832,46292
7/17/21,5782231,4284332,34183934,51002
7/18/21,5794763,4287458,34204263,55845
7/19/21,5796453,4289528,34253106,60180
7/20/21,5814442,4293083,34292833,65607
7/21/21,5834523,4297337,34340565,71144
7/22/21,5856432,4302393,34397093,78269
7/23/21,5875702,4307535,34517895,86957
7/24/21,5901326,4312673,34546639,94913
7/25/21,5916568,4317415,34574611,101173
7/26/21,5919170,4320530,34653984,106347
7/27/21,5946041,4325046,34718977,117121
7/28/21,5971078,4330739,34792550,123640
7/29/21,5996132,4336906,34865108,133405
7/30/21,6020331,4343519,35056555,141122
7/31/21,6043802,4350028,35100447,150060
8/1/21,6063402,4355348,35145016,157507
8/2/21,6063402,4358533,35253378,157507
8/3/21,6084067,4363374,35351131,174461
8/4/21,6111503,4369964,35453571,181756
8/5/21,6137948,4377188,35563266,189066
8/6/21,6161967,4383787,35815163,193381
8/7/21,6187722,4390684,35878168,205656
8/8/21,6208172,4396417,35913043,215560
8/9/21,6211471,4400617,36072834,224894
8/10/21,6232682,4406241,36190630,232937
8/11/21,6260194,4413162,36345072,241543
8/12/21,6288585,4420429,36489151,246568
8/13/21,6314823,4427827,36715976,255748
8/14/21,6339250,4435008,36789043,265464
8/15/21,6360422,4440669,36835831,275044
8/16/21,6366015,4444338,37030191,283696
8/17/21,6378738,4449606,37180778,293301
8/18/21,6406369,4456765,37348387,302101
8/19/21,6430319,4464005,37503607,312611
8/20/21,6450822,4471225,37742681,323268
8/21/21,6473458,4478691,37834876,336707
8/22/21,6490758,4484613,37879079,348059
8/23/21,6492581,4488779,38087307,358456
8/24/21,6517026,4494857,38241772,369267
8/25/21,6537883,4502396,38420744,381363
8/26/21,6557287,4509611,38604515,392938
8/27/21,6557287,4517434,38843191,410366
8/28/21,6591438,4524292,38922081,422469
8/29/21,6605068,4530246,38974094,435265
8/30/21,6605068,4534499,39203315,449489
8/31/21,6605068,4539991,39383267,462096
9/1/21,6635813,4546487,39573783,473530
9/2/21,6649966,4553241,39752919,486727
9/3/21,6662874,4559970,39988363,501649
9/4/21,6676210,4566126,40074272,511170
9/5/21,6686620,4571440,40137777,524307
9/6/21,6688909,4574787,40231521,536788
9/7/21,6702711,4579502,40440696,550996
9/8/21,6702711,4585423,40617612,563676
9/9/21,6720301,4590941,40784034,576096
9/10/21,6730199,4596558,41026055,589417
9/11/21,6739800,4601749,41115187,601349
9/12/21,6747479,4606413,41163537,613375
9/13/21,6748770,4609205,41374317,624547
9/14/21,6759097,4613214,41519721,635055
9/15/21,6759097,4618040,41692971,645640
9/16/21,6771911,4623155,41851757,656129
9/17/21,6778846,4627699,42062613,667650
9/18/21,6786260,4632275,42137585,677023
9/19/21,6792074,4636111,42182457,687063
9/20/21,6792074,4638516,42354261,695744
9/21/21,6798722,4641890,42476002,707436
9/22/21,6805130,4645853,42607356,718963
9/23/21,6810965,4649906,42736520,728435
9/24/21,6816844,4653696,42911289,736972
9/25/21,6822060,4657215,42971784,746678
9/26/21,6826766,4660314,43026101,756689
9/27/21,6827408,4662087,43182046,766051
9/28/21,6834025,4665049,43294795,770640
9/29/21,6838988,4668261,43416180,779398
9/30/21,6843836,4672355,43526572,790755
10/1/21,6848693,4675758,43681398,797712
10/2/21,6853641,4679067,43729603,803202
10/3/21,6857385,4682034,43774380,808578
10/4/21,6857921,4683646,43917301,813961
10/5/21,6862305,4686109,44012529,818324
10/6/21,6865914,4689341,44124704,822687
10/7/21,6870807,4692274,44226230,826837
10/8/21,6874967,4695291,44357646,831643
10/9/21,6879701,4698038,44396474,836134
10/10/21,6883692,4700316,44436144,839662
10/11/21,6884812,4701832,44532208,843281
10/12/21,6890619,4704318,44642817,846230
10/13/21,6890619,4707087,44751273,849691
10/14/21,6899839,4709753,44838223,853842
10/15/21,6905628,4712482,44947707,857639
10/16/21,6910527,4715464,44987491,860860
10/17/21,6914305,4717899,45019148,864053
10/18/21,6915362,4719493,45118101,867221
10/19/21,6920457,4722188,45200012,870255
10/20/21,6926248,4725887,45291628,873901
10/21/21,6932261,4729678,45369714,877537
10/22/21,6937872,4733557,45465665,881522
10/23/21,6944163,4737462,45498084,884895
10/24/21,6949168,4741185,45517255,888940
10/25/21,6950451,4743720,45629826,892579
10/26/21,6956491,4747773,45696479,896174
10/27/21,6963019,4752368,45799047,900585
10/28/21,6968918,4757231,45874144,905477
10/29/21,6975016,4762563,45969250,910376
10/30/21,6982376,4767440,46003542,915603
10/31/21,6988705,4771965,46035866,921122
