code,name,freq,listed_in,amount
USA,"United States",2054,"Faith & Spirituality",27
GBR,"United Kingdom",471,"Faith & Spirituality",3
AUS,Australia,97,"Action & Adventure",9
ESP,Spain,155,"TV Dramas",7
ARG,Argentina,61,"TV Dramas",2
FRA,France,227,Comedies,35
FRA,France,227,"Romantic Movies",16
ARG,Argentina,61,"Stand-Up Comedy",7
TWN,Taiwan,72,"Crime TV Shows",4
TWN,Taiwan,72,"TV Action & Adventure",3
ISR,Israel,20,Dramas,7
ISR,Israel,20,"International Movies",12
BRA,Brazil,56,"Crime TV Shows",3
TUR,Turkey,79,Dramas,17
TUR,Turkey,79,"International Movies",60
TUR,Turkey,79,Thrillers,4
DEU,Germany,122,Documentaries,16
ARG,Argentina,61,"Crime TV Shows",3
FRA,France,227,"Reality TV",1
ESP,Spain,155,"Reality TV",1
USA,"United States",2054,"TV Horror",10
CHE,Switzerland,15,Comedies,3
CHE,Switzerland,15,Dramas,10
CHE,Switzerland,15,"International Movies",11
CHN,China,111,"TV Action & Adventure",5
CHN,China,111,"TV Mysteries",1
MYS,Malaysia,19,"Horror Movies",4
SGP,Singapore,25,"Horror Movies",3
MYS,Malaysia,19,"International Movies",13
SGP,Singapore,25,"International Movies",12
LUX,Luxembourg,7,"Action & Adventure",1
LUX,Luxembourg,7,Dramas,6
ESP,Spain,155,"Action & Adventure",5
DEU,Germany,122,"Independent Movies",20
AUT,Austria,7,Dramas,4
EGY,Egypt,53,Dramas,18
AUT,Austria,7,"Independent Movies",3
EGY,Egypt,53,"Independent Movies",3
AUT,Austria,7,"International Movies",5
EGY,Egypt,53,"International Movies",43
GBR,"United Kingdom",471,"Independent Movies",48
LUX,Luxembourg,7,"International Movies",4
LUX,Luxembourg,7,Thrillers,1
BEL,Belgium,59,Thrillers,7
ZAF,"South Africa",25,Comedies,3
ZAF,"South Africa",25,"Romantic Movies",2
TUR,Turkey,79,Comedies,45
TUR,Turkey,79,"Romantic Movies",16
IND,India,748,"Kids' TV",4
IND,India,748,"TV Comedies",13
ESP,Spain,155,Dramas,59
IDN,Indonesia,49,Dramas,31
IDN,Indonesia,49,"Faith & Spirituality",3
IDN,Indonesia,49,"International Movies",44
CHN,China,111,"Children & Family Movies",8
AUS,Australia,97,"Kids' TV",4
AUS,Australia,97,"TV Thrillers",1
KOR,"South Korea",133,"Stand-Up Comedy",2
GBR,"United Kingdom",471,"Horror Movies",19
TUR,Turkey,79,"Crime TV Shows",8
TUR,Turkey,79,"International TV Shows",17
TUR,Turkey,79,"TV Dramas",16
POL,Poland,24,Dramas,18
POL,Poland,24,Thrillers,3
GBR,"United Kingdom",471,Thrillers,40
CAN,Canada,228,"Stand-Up Comedy",2
JPN,Japan,161,Dramas,8
JPN,Japan,161,Thrillers,2
IDN,Indonesia,49,"Romantic Movies",13
MEX,Mexico,107,"Kids' TV",3
KOR,"South Korea",133,"TV Action & Adventure",6
HKG,"Hong Kong",96,Documentaries,1
TUR,Turkey,79,"Children & Family Movies",1
AUS,Australia,97,"Crime TV Shows",5
AUS,Australia,97,Docuseries,8
AUS,Australia,97,"International TV Shows",18
CAN,Canada,228,"Reality TV",3
MEX,Mexico,107,"Romantic Movies",4
DNK,Denmark,30,Dramas,11
POL,Poland,24,"International Movies",16
DNK,Denmark,30,"International Movies",17
GBR,"United Kingdom",471,"Cult Movies",5
IND,India,748,"International TV Shows",43
IND,India,748,"Romantic TV Shows",4
POL,Poland,24,Comedies,2
POL,Poland,24,"Independent Movies",3
NLD,Netherlands,31,Dramas,14
NLD,Netherlands,31,"International Movies",26
NLD,Netherlands,31,"Romantic Movies",2
IND,India,748,"TV Dramas",18
POL,Poland,1,"Classic Movies",1
POL,Poland,24,"Classic Movies",2
POL,Poland,1,Dramas,1
POL,Poland,1,"International Movies",1
POL,Poland,24,"Romantic Movies",2
AUS,Australia,97,"Sci-Fi & Fantasy",5
GBR,"United Kingdom",471,"Sci-Fi & Fantasy",22
AUS,Australia,97,Thrillers,8
IND,India,748,"Sports Movies",14
POL,Poland,24,"Horror Movies",1
KOR,"South Korea",133,"Kids' TV",3
DEU,Germany,122,"Children & Family Movies",9
FRA,France,227,Documentaries,21
FRA,France,227,"Sports Movies",9
PER,Peru,9,"International Movies",8
POL,Poland,24,"Cult Movies",1
NGA,Nigeria,26,"Horror Movies",1
MLT,Malta,1,"Action & Adventure",1
MLT,Malta,1,Dramas,1
