code,name,freq,listed_in,amount,type_i
ESP,Spain,155,Dramas,59,Movie
IDN,Indonesia,49,Dramas,31,Movie
IDN,Indonesia,49,"Faith & Spirituality",3,Movie
IDN,Indonesia,49,"International Movies",44,Movie
CHN,China,111,"Children & Family Movies",8,Movie
AUS,Australia,97,"Kids' TV",4,"TV Show"
AUS,Australia,97,"TV Thrillers",1,Movie
KOR,"South Korea",133,"Stand-Up Comedy",2,Movie
GBR,"United Kingdom",471,"Horror Movies",19,Movie
TUR,Turkey,79,"Crime TV Shows",8,"TV Show"
TUR,Turkey,79,"International TV Shows",17,"TV Show"
TUR,Turkey,79,"TV Dramas",16,Movie
POL,Poland,24,Dramas,18,Movie
POL,Poland,24,Thrillers,3,Movie
GBR,"United Kingdom",471,Thrillers,40,Movie
CAN,Canada,228,"Stand-Up Comedy",2,Movie
JPN,Japan,161,Dramas,8,Movie
JPN,Japan,161,Thrillers,2,Movie
IDN,Indonesia,49,"Romantic Movies",13,Movie
MEX,Mexico,107,"Kids' TV",3,"TV Show"
KOR,"South Korea",133,"TV Action & Adventure",6,"TV Show"
HKG,"Hong Kong",96,Documentaries,1,Movie
TUR,Turkey,79,"Children & Family Movies",1,Movie
AUS,Australia,97,"Crime TV Shows",5,"TV Show"
AUS,Australia,97,Docuseries,8,"TV Show"
AUS,Australia,97,"International TV Shows",18,"TV Show"
CAN,Canada,228,"Reality TV",3,"TV Show"
MEX,Mexico,107,"Romantic Movies",4,Movie
DNK,Denmark,30,Dramas,11,Movie
POL,Poland,24,"International Movies",16,Movie
DNK,Denmark,30,"International Movies",17,Movie
GBR,"United Kingdom",471,"Cult Movies",5,Movie
IND,India,748,"International TV Shows",43,"TV Show"
IND,India,748,"Romantic TV Shows",4,"TV Show"
POL,Poland,24,Comedies,2,Movie
POL,Poland,24,"Independent Movies",3,Movie
NLD,Netherlands,31,Dramas,14,Movie
NLD,Netherlands,31,"International Movies",26,Movie
NLD,Netherlands,31,"Romantic Movies",2,Movie
IND,India,748,"TV Dramas",18,Movie
POL,Poland,1,"Classic Movies",1,Movie
POL,Poland,24,"Classic Movies",2,Movie
POL,Poland,1,Dramas,1,Movie
POL,Poland,1,"International Movies",1,Movie
POL,Poland,24,"Romantic Movies",2,Movie
AUS,Australia,97,"Sci-Fi & Fantasy",5,Movie
GBR,"United Kingdom",471,"Sci-Fi & Fantasy",22,Movie
AUS,Australia,97,Thrillers,8,Movie
IND,India,748,"Sports Movies",14,Movie
POL,Poland,24,"Horror Movies",1,Movie
KOR,"South Korea",133,"Kids' TV",3,"TV Show"
DEU,Germany,122,"Children & Family Movies",9,Movie
FRA,France,227,Documentaries,21,Movie
FRA,France,227,"Sports Movies",9,Movie
PER,Peru,9,"International Movies",8,Movie
POL,Poland,24,"Cult Movies",1,Movie
NGA,Nigeria,26,"Horror Movies",1,Movie
MLT,Malta,1,"Action & Adventure",1,Movie
MLT,Malta,1,Dramas,1,Movie
GBR,"United Kingdom",471,"Stand-Up Comedy",16,Movie
ITA,Italy,55,Thrillers,6,Movie
DNK,Denmark,30,Thrillers,4,Movie
IND,India,748,"TV Action & Adventure",4,"TV Show"
USA,"United States",2054,"Anime Features",3,Movie
USA,"United States",2054,"Teen TV Shows",11,"TV Show"
VNM,Vietnam,4,"Action & Adventure",2,Movie
VNM,Vietnam,4,Dramas,2,Movie
VNM,Vietnam,4,"International Movies",4,Movie
FRA,France,227,"Children & Family Movies",13,Movie
IND,India,748,"Music & Musicals",89,Movie
NGA,Nigeria,26,"Romantic Movies",3,Movie
ESP,Spain,155,"British TV Shows",3,"TV Show"
DEU,Germany,122,"British TV Shows",3,"TV Show"
FRA,France,227,"British TV Shows",1,"TV Show"
DEU,Germany,122,"Crime TV Shows",8,"TV Show"
GBR,"United Kingdom",471,"Crime TV Shows",24,"TV Show"
ESP,Spain,155,"TV Comedies",2,Movie
ESP,Spain,155,Documentaries,16,Movie
CHE,Switzerland,15,Documentaries,3,Movie
KOR,"South Korea",133,"Anime Series",1,"TV Show"
CAN,Canada,228,"Anime Series",1,"TV Show"
FRA,France,227,"TV Horror",2,"TV Show"
MEX,Mexico,107,"TV Dramas",7,Movie
CHN,China,111,"Romantic Movies",9,Movie
USA,"United States",2054,"TV Sci-Fi & Fantasy",15,"TV Show"
IND,India,748,"Children & Family Movies",13,Movie
CHN,China,111,Comedies,22,Movie
FRA,France,227,"TV Thrillers",1,Movie
PAK,Pakistan,23,Dramas,12,Movie
PAK,Pakistan,23,"Independent Movies",4,Movie
PAK,Pakistan,23,"International Movies",19,Movie
CAN,Canada,228,"Cult Movies",5,Movie
BRA,Brazil,56,Documentaries,11,Movie
BRA,Brazil,56,"International Movies",29,Movie
PRT,Portugal,4,Dramas,4,Movie
BRA,Brazil,56,Dramas,20,Movie
PRT,Portugal,4,"Independent Movies",2,Movie
BRA,Brazil,56,"Independent Movies",9,Movie
DNK,Denmark,30,"Independent Movies",7,Movie
PRT,Portugal,4,"International Movies",3,Movie
ARE,"United Arab Emirates",19,Comedies,5,Movie
ARE,"United Arab Emirates",19,"International Movies",10,Movie
EGY,Egypt,53,"Action & Adventure",7,Movie
EGY,Egypt,53,Comedies,24,Movie
CHN,China,111,"British TV Shows",1,"TV Show"
CHN,China,111,"Kids' TV",1,"TV Show"
JPN,Japan,161,"Teen TV Shows",4,"TV Show"
COL,Colombia,30,Comedies,5,Movie
CHL,Chile,22,"Children & Family Movies",1,Movie
CHL,Chile,22,Comedies,6,Movie
CHL,Chile,22,Dramas,9,Movie
GBR,"United Kingdom",471,"TV Dramas",13,Movie
GBR,"United Kingdom",471,"TV Sci-Fi & Fantasy",2,"TV Show"
COL,Colombia,30,"Crime TV Shows",11,"TV Show"
COL,Colombia,30,"International TV Shows",17,"TV Show"
COL,Colombia,30,"Spanish-Language TV Shows",16,"TV Show"
BRA,Brazil,56,"Faith & Spirituality",3,Movie
TWN,Taiwan,72,"International Movies",7,Movie
TWN,Taiwan,72,"Music & Musicals",1,Movie
CHN,China,111,"Music & Musicals",1,Movie
CAN,Canada,228,"International TV Shows",9,"TV Show"
LUX,Luxembourg,7,"Sci-Fi & Fantasy",1,Movie
POL,Poland,24,"Sci-Fi & Fantasy",1,Movie
DEU,Germany,122,"Sci-Fi & Fantasy",6,Movie
ISR,Israel,20,"Sci-Fi & Fantasy",1,Movie
TUR,Turkey,79,"Horror Movies",6,Movie
IND,India,748,"Horror Movies",28,Movie
PHL,Philippines,45,"International Movies",44,Movie
PHL,Philippines,45,"Romantic Movies",20,Movie
ESP,Spain,155,"Romantic TV Shows",3,"TV Show"
RUS,Russia,17,"Crime TV Shows",5,"TV Show"
RUS,Russia,17,"International TV Shows",8,"TV Show"
RUS,Russia,17,"TV Dramas",6,Movie
KOR,"South Korea",133,"Sci-Fi & Fantasy",4,Movie
CHN,China,111,"TV Dramas",16,Movie
ESP,Spain,155,"TV Action & Adventure",1,"TV Show"
TWN,Taiwan,72,"TV Thrillers",1,Movie
BRA,Brazil,56,"Stand-Up Comedy",6,Movie
USA,"United States",2054,"Stand-Up Comedy & Talk Shows",15,"TV Show"
AUS,Australia,97,"TV Comedies",5,Movie
LBN,Lebanon,9,"International TV Shows",7,"TV Show"
LBN,Lebanon,9,"TV Dramas",7,Movie
HKG,"Hong Kong",96,"International TV Shows",4,"TV Show"
MYS,Malaysia,19,"International TV Shows",2,"TV Show"
HKG,"Hong Kong",96,"Korean TV Shows",1,"TV Show"
SGP,Singapore,25,"Korean TV Shows",1,"TV Show"
MYS,Malaysia,19,"Korean TV Shows",1,"TV Show"
HKG,"Hong Kong",96,"Romantic TV Shows",1,"TV Show"
SGP,Singapore,25,"Romantic TV Shows",3,"TV Show"
MYS,Malaysia,19,"Romantic TV Shows",1,"TV Show"
KOR,"South Korea",133,"TV Dramas",15,Movie
PHL,Philippines,45,Comedies,17,Movie
